OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	taxonomy
New.CleanUp.ReferenceOTU40	9.53419634647539	2.83989732708369	0.935113873550156	3.03695347423521	0.00238982339523216	0.00675831777361352	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
779391	4.36505374898873	-2.51768802873493	0.831525896078848	-3.02779268884753	0.00246347023590006	0.00689247523448635	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU1402	5.51375210398577	-2.7245024836925	0.901577309008157	-3.0219288534333	0.00251169574700379	0.00695343138381049	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halorhabdus; s__
New.CleanUp.ReferenceOTU433	4.82453309098755	-2.60925224827566	0.864428360020053	-3.01847136090622	0.00254053413024283	0.00696000496097776	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
1119224	7.35166947198102	2.65355270157996	0.885465745787968	2.99678752588965	0.00272840806223763	0.00739764247802574	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
New.CleanUp.ReferenceOTU246	3.90557440698992	-2.39160860400234	0.80382150477096	-2.97529811009946	0.00292703947531017	0.00785521818374056	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
New.CleanUp.ReferenceOTU45	9.64906618197509	2.80982539611527	0.950910197695369	2.95487986449739	0.00312790824596644	0.00830949362312298	Unassigned; NA; NA; NA; NA; NA; NA
New.CleanUp.ReferenceOTU53	4.70966325548784	-2.56661544555104	0.870397307657772	-2.94878605778063	0.0031902474127595	0.00839035069555748	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU295	4.13531407798933	-2.44068015149093	0.831049738290003	-2.93686411178344	0.00331549349428273	0.00863341375243919	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Natronomonas; s__
1119031	7.58140914298043	2.65163468298741	0.904104173175251	2.93288623331397	0.00335826924782696	0.00865906678606363	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__; s__
4414336	9.18958683997628	2.75374508229975	0.951877934561886	2.8929603075285	0.00381629521920956	0.00956485777494277	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
2025460	6.5475806234831	2.53333050129953	0.87496082709047	2.89536448131476	0.00378718515322013	0.00956485777494277	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__; g__; s__
New.CleanUp.ReferenceOTU44	9.53419634647539	2.77390805648937	0.958912354566957	2.8927649573793	0.00381866945387449	0.00956485777494277	k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__JG30-KF-CM45; f__; g__; s__
New.CleanUp.ReferenceOTU60	10.6828947014724	2.82985355769349	0.979793661214116	2.88821378389697	0.00387436448755429	0.00961281000213941	Unassigned; NA; NA; NA; NA; NA; NA
New.CleanUp.ReferenceOTU41	6.5475806234831	2.50532964491085	0.890087562463568	2.81470020542321	0.00488227561196212	0.0120003596817387	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__
New.CleanUp.ReferenceOTU162	3.56096490049081	-2.25464853077551	0.802461113330068	-2.80966702725211	0.00495927785102027	0.0120767599520216	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacteriaceae; NA
New.CleanUp.ReferenceOTU245	3.56096490049081	-2.25353121314507	0.803445504990504	-2.80483392980299	0.00503425103888592	0.0121468625984128	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halogeometricum; s__
4452899	5.62862193948547	2.38428297358367	0.851766910127991	2.79922000400954	0.00512262219440961	0.0122467150957281	k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__JG30-KF-CM45; f__; g__; s__
New.CleanUp.ReferenceOTU557	3.56096490049081	-2.25155254332535	0.805183182857877	-2.79632336002573	0.00516876568679019	0.0122467150957281	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Haloterrigena; s__
